iid,airline,origin,aircraft,impact,flight_date,damage,num_birds,bird_size,sky_conditions,altitude_ft,heavy_flag
213759,ALOHA AIRLINES,Hawaii,B-737-200,None,10/4/02 0:00,No damage,1,Medium,Some Cloud,700,Yes
216590,SOUTHWEST AIRLINES,Alabama,B-737-300,Precautionary Landing,10/5/02 0:00,No damage,1,Medium,Some Cloud,400,Yes
218920,AMERICAN EAGLE AIRLINES,Maine,EMB-135,None,10/5/02 0:00,No damage,1,Small,No Cloud,250,No
220366,SOUTHWEST AIRLINES,Virginia,B-737-300,Aborted Take-off,10/5/02 0:00,No damage,1,Large,Some Cloud,0,Yes
219633,HAWAIIAN AIR,California,B-767-300,None,10/5/02 0:00,Caused damage,1,Medium,No Cloud,"12,000",Yes
218960,DELTA AIR LINES,Florida,B-757-200,None,10/6/02 0:00,No damage,1,Small,Some Cloud,"2,200",Yes
213463,SOUTHWEST AIRLINES,Maryland,B-737-300,None,10/6/02 0:00,Caused damage,1,Medium,No Cloud,"2,500",Yes
219765,SOUTHWEST AIRLINES,California,B-737-500,None,10/6/02 0:00,No damage,1,Small,No Cloud,"1,500",Yes
217868,DELTA AIR LINES,Georgia,MD-88,None,10/6/02 0:00,No damage,1,Small,No Cloud,"1,000",No
217722,BUSINESS,New York,CITATION X,None,10/6/02 0:00,No damage,1,Medium,Overcast,0,No
213053,AMERICAN AIRLINES,Missouri,MD-80,None,10/7/02 0:00,No damage,1,Medium,No Cloud,10,No
222338,BUSINESS,Alabama,CITATION II,Aborted Take-off,10/7/02 0:00,No damage,1,Small,Overcast,0,No
213277,AMERICAN EAGLE AIRLINES,Texas,SAAB-340,None,10/7/02 0:00,No damage,1,Small,Overcast,"1,100",No
217513,US AIRWAYS*,Pennsylvania,A-319,None,10/7/02 0:00,No damage,1,Small,No Cloud,"5,000",No
217873,HORIZON AIR,Washington,DHC8 DASH 8,None,10/7/02 0:00,No damage,1,Small,No Cloud,0,No
216166,CONTINENTAL AIRLINES,New Jersey,B-737,None,10/7/02 0:00,No damage,1,Medium,No Cloud,500,Yes
216883,HAWAIIAN AIR,Hawaii,B-717-200,None,10/7/02 0:00,No damage,1,Small,Some Cloud,20,No
216308,AMERICAN AIRLINES,North Carolina,MD-82,None,10/7/02 0:00,No damage,1,Medium,Some Cloud,"3,000",No
6979,MILITARY,South Carolina,KC-135R,None,10/7/02 0:00,No damage,1,Medium,No Cloud,500,No
6978,MILITARY,Texas,AT-38B,None,10/7/02 0:00,No damage,1,Small,Overcast,0,No
216604,BUSINESS,New Jersey,CITATION II,Aborted Take-off,10/7/02 0:00,No damage,1,Large,Overcast,0,No
218910,AMERICAN AIRLINES,Connecticut,MD-80,None,10/8/02 0:00,No damage,1,Small,Some Cloud,"4,000",No
218164,DELTA AIR LINES,New York,B-737-800,Other,10/8/02 0:00,No damage,1,Medium,No Cloud,"4,000",Yes
220585,MESA AIRLINES,Alabama,EMB-145,None,10/8/02 0:00,No damage,1,Small,No Cloud,500,No
219975,BUSINESS,Florida,C-172,Precautionary Landing,10/8/02 0:00,Caused damage,1,Medium,Some Cloud,900,No
215037,CCAIR,North Carolina,DHC8 DASH 8,None,10/9/02 0:00,No damage,1,Small,No Cloud,400,No
216537,PRIVATELY OWNED,Missouri,C-172,None,10/9/02 0:00,No damage,1,Medium,No Cloud,300,No
214197,SOUTHWEST AIRLINES,Texas,B-737-500,None,10/9/02 0:00,No damage,1,Small,Overcast,0,Yes
216618,ABX AIR,Florida,B-767-200,None,10/9/02 0:00,No damage,1,Medium,No Cloud,100,Yes
214406,DELTA AIR LINES,New Hampshire,MD-88,None,10/10/02 0:00,No damage,1,Small,Some Cloud,0,No
3019,MILITARY,California,T-38A,Precautionary Landing,10/10/02 0:00,No damage,1,Medium,No Cloud,400,No
7056,MILITARY,Texas,T-38A,Aborted Take-off,10/10/02 0:00,Caused damage,1,Medium,No Cloud,0,No
213397,BUSINESS,Kentucky,BE-400 BJET,Precautionary Landing,10/11/02 0:00,No damage,1,Small,Overcast,500,No
217943,SOUTHWEST AIRLINES,Texas,B-737-700,None,10/11/02 0:00,No damage,1,Small,No Cloud,"4,000",Yes
215565,COMAIR AIRLINES,Florida,CL-RJ100/200,None,10/11/02 0:00,No damage,1,Small,No Cloud,"1,500",No
216305,PRIVATELY OWNED,Florida,PA-23-250,None,10/11/02 0:00,Caused damage,1,Medium,Some Cloud,"1,500",No
214091,BUSINESS,Pennsylvania,CITATION II,None,10/12/02 0:00,No damage,1,Small,Overcast,0,No
215001,SOUTHWEST AIRLINES,Tennessee,B-737-300,None,10/12/02 0:00,No damage,1,Small,Overcast,300,Yes
216324,BUSINESS,Prince Edward Island,G-159,None,10/12/02 0:00,No damage,1,Small,No Cloud,0,No
216735,MESABA AIRLINES,Minnesota,SAAB-340,None,10/12/02 0:00,No damage,1,Small,No Cloud,450,No
218395,ABX AIR,Ohio,B-767-200,None,10/12/02 0:00,No damage,1,Medium,Some Cloud,"3,100",Yes
